Post_ID;Post_Name;Post_Code;Riverbas_Name;WaterLab_Name;Latitude;Longitude;Controle_Date;Azot;BSK5;Zavisli;Kisen;Sulfat;Hlorid;Amoniy;Nitrat;Nitrit;Fosfat;SPAR;Permanganat;HSK;Fitoplan;Atrazin;Simazin
26889;р. Дніпро, 922 км, с.Козаровичі, Київське водосховище;ЧЕР ДНЕПР 0000 0000 0000 0000 0000 0922 02 32;Дніпро;Басейнова лабораторія моніторингу вод  МОЗМ дніпровських водосховищ;50.759458;30.381558;2019-10-22;NULL;2.1;8.8;9.4;57.8;41.7;0.21;2.2;0.06;0.1;0.01;NULL;21.6;NULL;NULL;NULL
26968;р. Ірша, 31 км, м. Малин, питний в/з міста;ЧЕР ДНЕПР 0955 0118 0000 0000 0000 0031 02 18;Дніпро;Лабораторія моніторингу вод та ґрунтів БУВР Прип'яті;50.764089;29.222356;2019-11-19;0.33;3.2;5.6;10.64;96;27;0.21;0.12;0.004;0.014;NULL;NULL;36.94;NULL;NULL;NULL
27027;р. Рось, 64 км,   м.Корсунь-Шевченківський, питний в/з                                               ;ЧЕР ДНЕПР 0720 0000 0000 0000 0000 0064 08 71;Дніпро;Лабораторія моніторингу вод та ґрунтів  Черкаського РУВР Дніпровського БУВР;49.4;31.236;2019-12-10;NULL;2.8;5;8.8;48;49;0.4;3.6;0.058;0.78;NULL;NULL;34;NULL;NULL;NULL
27094;р. Дніпро, 245 км, м. Марганець, питний в/з;ЧЕР ДНЕПР 0000 0000 0000 0000 0000 0245 39 12;Дніпро;Лабораторія моніторингу вод РОВР у Дніпропетровській області;47.590297;34.474808;2019-12-17;NULL;1.53;5;9.86;34.58;35.45;0.37;2.27;0.03;0.24;NULL;NULL;33.2;NULL;NULL;NULL
27146;р. Південний Буг, 153 км, с. Олексіівка, питний в/з м. Південно-Українськ;ЧЕР Ю.БУГ 0000 0000 0000 0000 0000 0153 17 48;Південний Буг;Лабораторія моніторингу вод та ґрунтів РОВР у Миколаївській області;47.868789;31.119731;2019-11-18;NULL;1.23;1.6;11.17;76.16;50.05;0.085;3.99;0.026;0.494;0.027;6.85;25.45;NULL;NULL;NULL
27184;р. Сіверський Донець, 483 км,  с.Дронівка, 800 м нижче впадіння р. Бахмут, кордон Донец. і Луганської обл.;АЗО ДОН 0218 0000 0000 0000 0000 0483 14 14;Дон;Басейнова лабораторія моніторингу вод Сіверсько-Донецького БУВР;48.933333;38.05;2019-11-20;NULL;NULL;11.5;8.91;NULL;NULL;NULL;NULL;NULL;NULL;0.031;NULL;NULL;NULL;0;0
27223;р. Дністер, 900 км, с. Митків, правий берег, 200 м вище станції першого підйому в/з м. Чернівці;ЧЕР ДНЕСТР 0000 0000 0000 0000 0000 0900 09 77;Дністер;Басейнова лабораторія моніторингу вод та ґрунтів  БУВР Пруту та Сірету;48.61134;26.0233;2019-11-12;1.74;2.68;10;10.2;81.2;31.9;0.055;7.32;0.069;0.18;NULL;3.76;11;NULL;0;0
27247;р. Бистриця Солотвинська, 18 км, с. Скобичівка, питний в/з Ів.-Франк., 10 м нижче мосту;ЧЕР ДНЕСТР 1104 0018 0000 0000 0000 0020 01 26;Дністер;Лабораторія моніторингу вод та ґрунтів Дністровського БУВР;48.836142;24.542472;2019-11-28;NULL;1.7;NULL;11.6;79;43;0.46;2.8;0.022;0.11;0;NULL;8.4;NULL;0;0
27258;р. Нічлава, 35 км, м. Борщів, Борщівське вдсх., в/з;ЧЕР ДНЕСТР 0885 0000 0000 0000 0000 0035 01 61;Дністер;Лабораторія моніторингу вод та ґрунтів РОВР у Тернопільській області;48.789;26.017;2019-12-12;NULL;2.88;12;11.52;160.07;34.79;0.43;1.4;0.042;0.08;0;NULL;28.1;NULL;0;0
27288;р. Тиса, 807 км, смт. Вілок, канал Батар, в/з ЗС;ЧЕР ДУНАЙ 1218 0000 0000 0000 0000 0807 03 21;Дунай;Басейнова лабораторія моніторингу вод та ґрунтів БУВР Тиси;48.039164;22.946075;2019-12-11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.01;0
27328;р. Киргиж-Китай, 49 км, с. М. Ярославець, кордон з Молдовою;ЧЕР ДУНАЙ 0060 0000 0000 0000 0000 0049 01 51;Дунай;Лабораторія моніторингу вод БУВР річок Причорномор'я та нижнього Дунаю;46.097983;28.995199;2019-10-28;NULL;1.8;166;1.9;1684.3;246.4;0.4;38.4;0;0.41;0.43;NULL;4.3;NULL;0.006;0
27573;"р. Саксагань, 65 км, м.Пятихатки, Макортовське водосховище, м.Пятихатки, питний водозабір КП ПМР ""Житлокомплекс""";NULL;Дніпро;Лабораторія моніторингу вод РОВР у Дніпропетровській області;48.227072;33.772239;2019-10-08;NULL;3.9;7.2;7.1;1306.51;439.62;0.27;1.74;0.03;0.18;NULL;NULL;32.7;NULL;NULL;NULL
27606;р. Хорина, 0 км, ділянка від с. Павлівка до с.Травневе;UA_M6.5.1_0421_01;Дон;Басейнова лабораторія моніторингу вод Сіверсько-Донецького БУВР;49.515881;38.369225;2019-11-21;NULL;NULL;18.5;8.27;NULL;NULL;NULL;NULL;NULL;NULL;0.03;NULL;NULL;NULL;0;0
27247;р. Бистриця Солотвинська, 18 км, с. Скобичівка, питний в/з Ів.-Франк., 10 м нижче мосту;ЧЕР ДНЕСТР 1104 0018 0000 0000 0000 0020 01 26;Дністер;Лабораторія моніторингу вод та ґрунтів Дністровського БУВР;48.836142;24.542472;2019-12-17;NULL;1.6;NULL;11.5;70;38;0.5;2.4;0.032;0.1;0;NULL;7.8;NULL;0;0
27252;р. Стрипа, 34 км, м. Бучач, в/з;ЧЕР ДНЕСТР 0984 0000 0000 0000 0000 0034 01 61;Дністер;Лабораторія моніторингу вод та ґрунтів РОВР у Тернопільській області;49.062;25.401;2019-10-08;NULL;2.56;10;10.5;36.21;24.85;0.43;8.23;0.089;0.11;0;NULL;26.1;NULL;0;0
27252;р. Стрипа, 34 км, м. Бучач, в/з;ЧЕР ДНЕСТР 0984 0000 0000 0000 0000 0034 01 61;Дністер;Лабораторія моніторингу вод та ґрунтів РОВР у Тернопільській області;49.062;25.401;2019-11-20;NULL;2.4;10;9.2;34.57;22.72;0.41;7;0.08;0.12;0;NULL;24.8;NULL;0;0
27252;р. Стрипа, 34 км, м. Бучач, в/з;ЧЕР ДНЕСТР 0984 0000 0000 0000 0000 0034 01 61;Дністер;Лабораторія моніторингу вод та ґрунтів РОВР у Тернопільській області;49.062;25.401;2019-12-12;NULL;2.24;8;12.96;34.57;23.08;0.36;5.65;0.034;0.08;0;NULL;24.6;NULL;0;0
27255;р. Серет, 180 км, м. Тернопіль, Тернопільське вдсх., питний в/з;ЧЕР ДНЕСТР 0921 0000 0000 0000 0000 0180 02 61;Дністер;Лабораторія моніторингу вод та ґрунтів РОВР у Тернопільській області;49.553;25.579;2019-10-07;NULL;2.16;10;9.2;13.99;15.98;0.33;0;0.031;0.1;0;NULL;28.2;NULL;0;0
27255;р. Серет, 180 км, м. Тернопіль, Тернопільське вдсх., питний в/з;ЧЕР ДНЕСТР 0921 0000 0000 0000 0000 0180 02 61;Дністер;Лабораторія моніторингу вод та ґрунтів РОВР у Тернопільській області;49.553;25.579;2019-11-19;NULL;2.72;10;10.16;12.76;14.2;0.44;1.45;0;0.12;0;NULL;24.8;NULL;0;0
27255;р. Серет, 180 км, м. Тернопіль, Тернопільське вдсх., питний в/з;ЧЕР ДНЕСТР 0921 0000 0000 0000 0000 0180 02 61;Дністер;Лабораторія моніторингу вод та ґрунтів РОВР у Тернопільській області;49.553;25.579;2019-12-11;NULL;2.56;9;10.8;13.17;15.62;0.29;2.6;0.064;0.06;0;NULL;24.2;NULL;0;0
27256;р. Серет, 211 км, с. Горішньо-Івачів, Горишньо-Івачівське вдсх., питний в/з м.Тернопіль;ЧЕР ДНЕСТР 0921 0000 0000 0000 0000 0211 01 61;Дністер;Лабораторія моніторингу вод та ґрунтів РОВР у Тернопільській області;49.599;25.554;2019-10-07;NULL;3.12;12;8.3;13.17;14.91;0.26;0;0;0.04;0;NULL;33.3;NULL;0;0
27256;р. Серет, 211 км, с. Горішньо-Івачів, Горишньо-Івачівське вдсх., питний в/з м.Тернопіль;ЧЕР ДНЕСТР 0921 0000 0000 0000 0000 0211 01 61;Дністер;Лабораторія моніторингу вод та ґрунтів РОВР у Тернопільській області;49.599;25.554;2019-11-19;NULL;2.56;10;8.24;12.35;15.62;0.42;0;0;0.05;0;NULL;24.1;NULL;0;0
27256;р. Серет, 211 км, с. Горішньо-Івачів, Горишньо-Івачівське вдсх., питний в/з м.Тернопіль;ЧЕР ДНЕСТР 0921 0000 0000 0000 0000 0211 01 61;Дністер;Лабораторія моніторингу вод та ґрунтів РОВР у Тернопільській області;49.599;25.554;2019-12-11;NULL;2.8;11;10.4;14.81;17.04;0.38;0.9;0.024;0.07;0;NULL;25.2;NULL;0;0
27258;р. Нічлава, 35 км, м. Борщів, Борщівське вдсх., в/з;ЧЕР ДНЕСТР 0885 0000 0000 0000 0000 0035 01 61;Дністер;Лабораторія моніторингу вод та ґрунтів РОВР у Тернопільській області;48.789;26.017;2019-10-08;NULL;3.2;15;12.1;177.36;41.89;0.65;1.9;0.207;0.11;0;NULL;33.7;NULL;0;0
27258;р. Нічлава, 35 км, м. Борщів, Борщівське вдсх., в/з;ЧЕР ДНЕСТР 0885 0000 0000 0000 0000 0035 01 61;Дністер;Лабораторія моніторингу вод та ґрунтів РОВР у Тернопільській області;48.789;26.017;2019-11-20;NULL;3.04;12;7.2;172.83;38.34;0.65;3.1;0.156;0.14;0.0242;NULL;28.8;NULL;0;0
27260;р. Збруч, 137 км, м. Підволочиськ, в/з;ЧЕР ДНЕСТР 0846 0000 0000 0000 0000 0137 01 61;Дністер;Лабораторія моніторингу вод та ґрунтів РОВР у Тернопільській області;49.511;26.145;2019-10-07;NULL;2.96;14;8;35.39;20.23;0.48;1.41;0.083;0.04;0;NULL;28.8;NULL;0;0
27260;р. Збруч, 137 км, м. Підволочиськ, в/з;ЧЕР ДНЕСТР 0846 0000 0000 0000 0000 0137 01 61;Дністер;Лабораторія моніторингу вод та ґрунтів РОВР у Тернопільській області;49.511;26.145;2019-11-19;NULL;2.8;14;8.8;33.74;18.46;0.41;1.62;0.077;0.05;0;NULL;25.4;NULL;0;0
27260;р. Збруч, 137 км, м. Підволочиськ, в/з;ЧЕР ДНЕСТР 0846 0000 0000 0000 0000 0137 01 61;Дністер;Лабораторія моніторингу вод та ґрунтів РОВР у Тернопільській області;49.511;26.145;2019-12-11;NULL;2.88;9;10.24;40.33;25.56;0.36;0.74;0.031;0.06;0;NULL;26.2;NULL;0;0
27262;р. Білоч, 15 км, с. Шершенці, кордон з Молдовою;ЧЕР ДНЕСТР 0444 0000 0000 0000 0000 0015 01 51;Дністер;Лабораторія моніторингу вод та ґрунтів БУВР річок Причорномор'я та нижнього Дунаю;47.989095;29.008031;2019-10-15;NULL;24.6;9;2.9;111.36;35.45;0;26.7;0;0.08;0.22;NULL;64;NULL;0;0
27262;р. Білоч, 15 км, с. Шершенці, кордон з Молдовою;ЧЕР ДНЕСТР 0444 0000 0000 0000 0000 0015 01 51;Дністер;Лабораторія моніторингу вод та ґрунтів БУВР річок Причорномор'я та нижнього Дунаю;47.989095;29.008031;2019-11-11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0
27262;р. Білоч, 15 км, с. Шершенці, кордон з Молдовою;ЧЕР ДНЕСТР 0444 0000 0000 0000 0000 0015 01 51;Дністер;Лабораторія моніторингу вод та ґрунтів БУВР річок Причорномор'я та нижнього Дунаю;47.989095;29.008031;2019-12-09;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0
27263;р. Окни, 28 км, с. Лабушне, кордон з Молдовою;ЧЕР ДНЕСТР 0434 0000 0000 0000 0000 0028 01 51;Дністер;Лабораторія моніторингу вод та ґрунтів БУВР річок Причорномор'я та нижнього Дунаю;48.058639;29.137472;2019-10-15;NULL;75.4;300;0;338.4;102.805;0.04;0;0;1.78;0.55;NULL;160;NULL;0;0
27263;р. Окни, 28 км, с. Лабушне, кордон з Молдовою;ЧЕР ДНЕСТР 0434 0000 0000 0000 0000 0028 01 51;Дністер;Лабораторія моніторингу вод та ґрунтів БУВР річок Причорномор'я та нижнього Дунаю;48.058639;29.137472;2019-11-11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0
27263;р. Окни, 28 км, с. Лабушне, кордон з Молдовою;ЧЕР ДНЕСТР 0434 0000 0000 0000 0000 0028 01 51;Дністер;Лабораторія моніторингу вод та ґрунтів БУВР річок Причорномор'я та нижнього Дунаю;48.058639;29.137472;2019-12-09;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0
27264;р. Ягорлик, 20,2 км, с. Артирівка, кордон з Молдовою;ЧЕР ДНЕСТР 0375 0000 0000 0000 0000 0020 01 51;Дністер;Лабораторія моніторингу вод та ґрунтів БУВР річок Причорномор'я та нижнього Дунаю;47.470472;29.35975;2019-10-15;NULL;21;33;0;175.2;76.2175;0;0;0;0.54;0.36;NULL;36;NULL;0;0
27264;р. Ягорлик, 20,2 км, с. Артирівка, кордон з Молдовою;ЧЕР ДНЕСТР 0375 0000 0000 0000 0000 0020 01 51;Дністер;Лабораторія моніторингу вод та ґрунтів БУВР річок Причорномор'я та нижнього Дунаю;47.470472;29.35975;2019-11-11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0
27264;р. Ягорлик, 20,2 км, с. Артирівка, кордон з Молдовою;ЧЕР ДНЕСТР 0375 0000 0000 0000 0000 0020 01 51;Дністер;Лабораторія моніторингу вод та ґрунтів БУВР річок Причорномор'я та нижнього Дунаю;47.470472;29.35975;2019-12-09;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0
27266;р. Кучурган, 6 км, с. Степанівка, впадає в Кучурганський лиман, кордон з Молдовою;ЧЕР ДНЕСТР 0153 0031 0000 0000 0000 0006 01 51;Дністер;Лабораторія моніторингу вод та ґрунтів БУВР річок Причорномор'я та нижнього Дунаю;46.78875;29.977167;2019-10-15;NULL;34.5;125;5;3227.5;1258.5;0;0;0;0.07;0.56;NULL;113;NULL;0;0
27292;р. Латориця, 65 км, м. Чоп, питний в/з, кордон з Словаччиною;ЧЕР ДУНАЙ 1218 0550 0090 0000 0000 0065 03 21;Дунай;Басейнова лабораторія моніторингу вод та ґрунтів БУВР Тиси;48.455792;22.209561;2019-10-16;NULL;2.2;NULL;11.3;18.2;14.7;NULL;NULL;NULL;NULL;0.009;NULL;6.1;NULL;0;0
27292;р. Латориця, 65 км, м. Чоп, питний в/з, кордон з Словаччиною;ЧЕР ДУНАЙ 1218 0550 0090 0000 0000 0065 03 21;Дунай;Басейнова лабораторія моніторингу вод та ґрунтів БУВР Тиси;48.455792;22.209561;2019-11-04;NULL;2.5;NULL;12.4;21.1;14.9;NULL;NULL;NULL;NULL;0.008;NULL;5;NULL;0;0
27292;р. Латориця, 65 км, м. Чоп, питний в/з, кордон з Словаччиною;ЧЕР ДУНАЙ 1218 0550 0090 0000 0000 0065 03 21;Дунай;Басейнова лабораторія моніторингу вод та ґрунтів БУВР Тиси;48.455792;22.209561;2019-12-03;NULL;2.3;6.2;12.1;18;7;NULL;NULL;NULL;NULL;0.01;5.2;9.2;NULL;0;0
27299;р. Уж, 40 км, м. Ужгород, питний в/з ;ЧЕР ДУНАЙ 1218 0550 0090 0019 0082 0040 03 21;Дунай;Басейнова лабораторія моніторингу вод та ґрунтів БУВР Тиси;48.632189;22.317511;2019-10-16;NULL;1.7;NULL;12.7;12.7;7;NULL;NULL;NULL;NULL;0.004;NULL;5.6;NULL;0;0
27299;р. Уж, 40 км, м. Ужгород, питний в/з ;ЧЕР ДУНАЙ 1218 0550 0090 0019 0082 0040 03 21;Дунай;Басейнова лабораторія моніторингу вод та ґрунтів БУВР Тиси;48.632189;22.317511;2019-11-04;NULL;2;NULL;12.9;13.2;6.9;NULL;NULL;NULL;NULL;0.003;NULL;6.1;NULL;0;0
27299;р. Уж, 40 км, м. Ужгород, питний в/з ;ЧЕР ДУНАЙ 1218 0550 0090 0019 0082 0040 03 21;Дунай;Басейнова лабораторія моніторингу вод та ґрунтів БУВР Тиси;48.632189;22.317511;2019-12-03;NULL;1.7;NULL;14.4;14.6;4.8;NULL;NULL;NULL;NULL;0.003;NULL;5;NULL;0;0
27300;р. Уж, 28 км, с. Сторожниця, кордон з Словаччиною ;ЧЕР ДУНАЙ 1218 0550 0090 0019 0082 0028 04 21;Дунай;Басейнова лабораторія моніторингу вод та ґрунтів БУВР Тиси;48.608756;22.247004;2019-10-16;NULL;3;9.5;10.2;16.4;12.9;NULL;NULL;NULL;NULL;NULL;3.3;6.8;NULL;0;0
27300;р. Уж, 28 км, с. Сторожниця, кордон з Словаччиною ;ЧЕР ДУНАЙ 1218 0550 0090 0019 0082 0028 04 21;Дунай;Басейнова лабораторія моніторингу вод та ґрунтів БУВР Тиси;48.608756;22.247004;2019-11-04;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0
27300;р. Уж, 28 км, с. Сторожниця, кордон з Словаччиною ;ЧЕР ДУНАЙ 1218 0550 0090 0019 0082 0028 04 21;Дунай;Басейнова лабораторія моніторингу вод та ґрунтів БУВР Тиси;48.608756;22.247004;2019-12-03;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0
27301;р. Улічка, 1 км, с. Забрідь, гирло;ЧЕР ДУНАЙ 1218 0550 0090 0019 0082 0001 01 21;Дунай;Басейнова лабораторія моніторингу вод та ґрунтів БУВР Тиси;48.918967;22.4571;2019-10-02;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0
