Post_ID;Post_Name;Post_Code;Riverbas_Name;WaterLab_Name;Latitude;Longitude;Controle_Date;Azot;BSK5;Zavisli;Kisen;Sulfat;Hlorid;Amoniy;Nitrat;Nitrit;Fosfat;SPAR;Permanganat;HSK;Fitoplan;Atrazin;Simazin
26967;р. Ірша, 93 км, смт. Нова Борова, Іршанське вдсх. в/бєф, питний в/з селища;ЧЕР ДНЕПР 0955 0118 0000 0000 0000 0079 01 18;Дніпро;Лабораторія моніторингу вод та ґрунтів БУВР Прип'яті;50.697422;28.613625;2019-06-05;0.4;2.88;5.3;8.32;58;27;0.2;0.19;0.006;0.005;NULL;NULL;29.12;NULL;NULL;NULL
27073;"р. Дніпро, 404 км, м. Дніпро, ВП ""ПдТЄС"" ПАТ ""ДТЕК Дніпроенерго"", питний  в/з";ЧЕР ДНЕПР 0000 0000 0000 0000 0000 0404 26 12;Дніпро;Лабораторія моніторингу вод РОВР у Дніпропетровській області;48.411528;35.102308;2019-05-06;NULL;2.2;14.1;7.88;48.04;37.23;0.43;1.01;0.05;0.16;NULL;NULL;33.9;NULL;NULL;NULL
27135;р. Південний Буг, 652 км, м. Хмільник, питний в/з, вище міста;ЧЕР Ю.БУГ 0000 0000 0000 0000 0000 0652 06 05;Південний Буг;Лабораторія моніторингу вод та ґрунтів БУВР річки Південний Буг;49.556389;27.913056;2019-05-20;NULL;6.8;10;4.3;35.1;27.3;0.42;4.56;0.33;0.95;0.065;26.3;40.6;NULL;NULL;NULL
27173;р. Сіверський Донець, 813 км, с.Есхар, нижче гирла р.Уди;АЗО ДОН 0218 0000 0000 0000 0000 0813 02 63;Дон;Лабораторія моніторингу вод РОВР у Харківській області;49.789347;36.595947;2019-04-02;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0
27203;р. Казений Торець, 1 км, с. Райгородок, гирло;АЗО ДОН 0218 0518 0000 0000 0000 0001 04 14;Дон;Басейнова лабораторія моніторингу вод Сіверсько-Донецького БУВР;48.883333;37.733333;2019-06-04;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0
27242;р. Лімниця, 30 км, с. Вістова, питний в/з м. Калуш;ЧЕР ДНЕСТР 1120 0000 0000 0000 0000 0030 01 26;Дністер;Лабораторія моніторингу вод та ґрунтів Дністровського БУВР;49.027667;24.463722;2019-04-24;NULL;1.5;NULL;11.5;42;23;0.21;2.3;0.021;0.048;0;NULL;6.5;NULL;NULL;NULL
27277;р. Тиса, 882 км, м. Тячів, питний в/з, АІВС якості***;ЧЕР ДУНАЙ 1218 0000 0000 0000 0000 0882 06 21;Дунай;Басейнова лабораторія моніторингу вод та ґрунтів БУВР Тиси;48.004981;23.575919;2019-05-28;NULL;3.7;NULL;10.9;17.2;14.1;NULL;NULL;NULL;NULL;0.01;NULL;6.9;NULL;NULL;NULL
27337;р. Західний Буг, 468 км, с. Забужжя, кордон з Республікою Польща;БАЛ ВИСЛА 0388 0000 0000 0000 0000 0468 10 07;Вісла;Лабораторія моніторингу вод та ґрунтів РОВР у Волинській області;51.378292;23.684542;2019-05-16;NULL;3.19;14;6.12;90.06;29.5;1.16;9.92;0.191;0.121;NULL;NULL;21.5;NULL;NULL;NULL
27584;"р. Сіверський Донець, 0 км, с. Кочеток, водозабір КП ""Харківводоканал""";NULL;Дон;Лабораторія моніторингу вод РОВР у Харківській області;49.874431;36.750058;2019-06-03;1.32;2.58;NULL;7.81;135.63;35.81;0.38;4.5;0.044;0.4;NULL;NULL;20;NULL;0;0
27616;"р. Слониця, 23 км, водозабір ТзОВ ""Трускавецьводоканал""";UA_M5.2_0099_01;Дністер;Лабораторія моніторингу вод та ґрунтів БУВР Західного Бугу та Сяну;49.265222;23.504511;2019-05-21;NULL;0.44;0;8.26;31.31;38.22;0.41;3.15;0.06;0.04;NULL;NULL;8.17;NULL;NULL;NULL
27339;р. Полтва, 30 км, с.Кам’янопіль, Пустомитівський р-н, кільцева дорога біля шлюзу; БАЛ ВИСЛА 0388 0782 0000 0000 0000 0030 01 46;Вісла;Лабораторія моніторингу вод та ґрунтів БУВР Західного Бугу та Сяну;49.87005;24.166031;2019-04-16;NULL;33.94;77;2.06;103.41;107.7;5.51;9.8;0.88;1.56;NULL;NULL;89.95;NULL;NULL;NULL
