Post_ID;Post_Name;Post_Code;Riverbas_Name;WaterLab_Name;Latitude;Longitude;Controle_Date;Azot;BSK5;Zavisli;Kisen;Sulfat;Hlorid;Amoniy;Nitrat;Nitrit;Fosfat;SPAR;Permanganat;HSK;Fitoplan;Atrazin;Simazin
26939;р. Стир, 48 км, смт. Зарічне, кордон з Білоруссю;ЧЕР ДНЕПР 0981 0491 0000 0000 0000 0048 07 56;Дніпро;Лабораторія моніторингу вод та ґрунтів РОВР у Рівненській області;51.829736;26.149092;2019-02-05;NULL;4.01;5.3;8.68;28.18;21.3;0.241;1.2;0.092;0.165;0.02;11.2;29.41;NULL;NULL;NULL
26991;р. Судость, 3 км, с. Грем'яч, Н.-Сіверського р-ну (кордон з РФ);ЧЕР ДНЕПР 0892 0574 0000 0000 0000 0003 01 74;Дніпро;Лабораторія моніторингу вод та ґрунтів Деснянського БУВР;52.339517;33.304907;2019-03-13;NULL;2.28;12.3;12.36;40.39;22.16;0.76;1.46;0.08;0.52;0.01;NULL;32;NULL;NULL;NULL
27068;канал Дніпро-Донбас, 215 км, верхній б'єф Краснопавлівського водосховища, скид у р. Сіверський Дінець;ЧЕР ДНЕПР 0490 0000 0000 0000 0000 0215 06 12;Дніпро;Лабораторія моніторингу вод Управління каналу Дніпро-Донбас;49.113823;36.500952;2019-02-12;0.52;3.55;NULL;10.7;386;81.6;0.4;0.75;0;0.09;NULL;NULL;19;NULL;0;0
27104;р. Дніпро, 65 км, с. Іванівка, Білозерського району, у р-ні питного в/з Миколаївського водоканаплу;ЧЕР ДНЕПР 0000 0000 0000 0000 0000 0065 47 65;Дніпро;БУВР нижнього Дніпра;46.74315;33.027935;2019-03-12;NULL;1.8;0;12;55.5;31.8;0.26;1.5;0;0.33;NULL;NULL;27.2;NULL;NULL;NULL
27162;р. Інгул, 318 км, м. Кропивницький, питний в/з міста;ЧЕР Ю.БУГ 0001 0000 0000 0000 0000 0318 01 35;Південний Буг;Лабораторія моніторингу вод та ґрунтів РОВР у Кіровоградській області;48.533914;32.238956;2019-02-15;NULL;2.46;NULL;11.1;196.12;70.9;0.35;3.35;0.04;0.15;NULL;NULL;22;NULL;NULL;NULL
27207;р. Кривий Торець, 1 км, Карлівська гребля, техн.в/з;АЗО ДОН 0218 0518 0056 0000 0000 0001 01 14;Дон;Басейнова лабораторія моніторингу вод Сіверсько-Донецького БУВР;48.616667;37.533333;2019-03-19;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0
27246;р. Бистриця Надвірнянська, 16 км, с. Черніів, питний в/з Ів.Франківська, 10 м нижче мосту;ЧЕР ДНЕСТР 1104 0017 0000 0000 0000 0015 01 26;Дністер;Лабораторія моніторингу вод та ґрунтів Дністровського БУВР;48.848947;24.697106;2019-02-18;NULL;1.6;NULL;11.5;39;23;0.19;3.2;0.016;0.044;0;NULL;6;NULL;NULL;NULL
27277;р. Тиса, 882 км, м. Тячів, питний в/з, АІВС якості***;ЧЕР ДУНАЙ 1218 0000 0000 0000 0000 0882 06 21;Дунай;Басейнова лабораторія моніторингу вод та ґрунтів БУВР Тиси;48.004981;23.575919;2019-02-13;NULL;3;NULL;11.3;19.7;13.8;0.11;3.3;0.05;NULL;0.01;NULL;5.8;NULL;NULL;NULL
27303;р. Сірет, 418 км, с. Черепківці, міст, прикордонна зона з Румунією;ЧЕР ДУНАЙ 0181 0000 0000 0000 0000 0418 02 77;Дунай;Басейнова лабораторія моніторингу вод та ґрунтів  БУВР Пруту та Сірету;48.01423;25.96489;2019-01-09;1.98;1.04;7;14;46.8;17.7;0.052;8.36;0.07;0.039;NULL;1.76;10;NULL;NULL;NULL
27348;р. Сарата, 14,3 км, с. Білолісся;ЧЕР САРАТА 0000 0000 0000 0000 0000 0014 02 51;Річки Причорномор'я;Лабораторія моніторингу вод та ґрунтів БУВР річок Причорномор'я та нижнього Дунаю;45.842083;29.691417;2019-02-13;NULL;5.5;70;9.3;2398.6;6026.5;0.4;0;0.09;0.11;0.76;NULL;255.6;NULL;NULL;NULL
