Post_ID;Post_Name;Post_Code;Riverbas_Name;WaterLab_Name;Latitude;Longitude;Controle_Date;Azot;BSK5;Zavisli;Kisen;Sulfat;Hlorid;Amoniy;Nitrat;Nitrit;Fosfat;SPAR;Permanganat;HSK;Fitoplan;Atrazin;Simazin
26960;р. Уж, 172 км, м. Коростень, питний в/з;ЧЕР ДНЕПР 0981 0028 0000 0000 0000 0172 01 18;Дніпро;Лабораторія моніторингу вод та ґрунтів БУВР Прип'яті;50.940514;28.626456;2019-09-17;1.08;2.64;5.2;8.32;48;23;0.11;0.97;0.004;0.028;NULL;NULL;28.9;NULL;NULL;NULL
27023;р. Рось, 118 км, м.Богуслав, питний в/з міста;ЧЕР ДНЕПР 0720 0000 0000 0000 0000 0118 04 32;Дніпро;Басейнова лабораторія моніторингу вод  МОЗМ дніпровських водосховищ;49.545608;30.867422;2019-08-05;NULL;2;6.4;7.2;50.2;39.3;0.52;2.2;0.09;0.73;NULL;NULL;29.9;NULL;NULL;NULL
27094;р. Дніпро, 245 км, м. Марганець, питний в/з;ЧЕР ДНЕПР 0000 0000 0000 0000 0000 0245 39 12;Дніпро;Лабораторія моніторингу вод РОВР у Дніпропетровській області;47.590297;34.474808;2019-07-17;NULL;4.9;11.8;7.71;62.86;44.32;0.4;2.52;0.03;0.33;NULL;NULL;36.8;NULL;NULL;NULL
27140;р. Південний Буг, 413 км, с. Маньківка, вище села, питний в/з м.Ладижин;ЧЕР Ю.БУГ 0000 0000 0000 0000 0000 0413 11 05;Південний Буг;Лабораторія моніторингу вод та ґрунтів БУВР річки Південний Буг;48.738889;29.089167;2019-08-07;NULL;5.5;8;14.1;33.3;35.9;0.34;0.25;0.037;0.39;0.034;21.7;33;NULL;NULL;NULL
27181;"р. Сіверський Донець, 522 км, м.Слов""янськ, Райгородська гребля, питний водозабір  у канал ""Сіверський Донець-Донбас""";АЗО ДОН 0218 0000 0000 0000 0000 0522 11 14;Дон;Басейнова лабораторія моніторингу вод Сіверсько-Донецького БУВР;48.9;37.75;2019-09-03;1.98;3.53;10.5;9.48;240.2;67.4;0.48;6.65;0.075;1.03;0.023;NULL;18.8;NULL;0;0
27222;р. Дністер, 936 км, м. Заліщики, в/з, прав. берег, 50 м нижче мосту через річку по дорозі Чернівці - Тернопіль;ЧЕР ДНЕСТР 0000 0000 0000 0000 0000 0936 08 77;Дністер;Басейнова лабораторія моніторингу вод та ґрунтів  БУВР Пруту та Сірету;48.63404;25.76609;2019-08-21;1.9;3.6;14;8.16;56.8;24.8;0.1;7.77;0.091;0.12;NULL;5.84;17.4;NULL;0;0
27252;р. Стрипа, 34 км, м. Бучач, в/з;ЧЕР ДНЕСТР 0984 0000 0000 0000 0000 0034 01 61;Дністер;Лабораторія моніторингу вод та ґрунтів РОВР у Тернопільській області;49.062;25.401;2019-09-17;NULL;2.4;10;8.6;33.33;22.01;0.1;5.55;0.058;0.1;0;NULL;25.2;NULL;0;0
27277;р. Тиса, 882 км, м. Тячів, питний в/з, АІВС якості***;ЧЕР ДУНАЙ 1218 0000 0000 0000 0000 0882 06 21;Дунай;Басейнова лабораторія моніторингу вод та ґрунтів БУВР Тиси;48.004981;23.575919;2019-07-10;NULL;2.9;NULL;10.3;21.3;35.3;NULL;NULL;NULL;NULL;0.011;NULL;7.1;NULL;0;0
27311;р. Прут, 697 км, с. Костичани, кордон з Румунією та Молдовою, 200 м нижче впадіння в р. Прут р. Черлена;ЧЕР ДУНАЙ 0174 0000 0000 0000 0000 0697 07 77;Дунай;Басейнова лабораторія моніторингу вод та ґрунтів  БУВР Пруту та Сірету;48.21773;26.4982;2019-07-03;1.12;1.68;18;8.16;48;30.1;0.088;4.52;0.048;0.094;NULL;2.24;10;NULL;NULL;NULL
27352;р. Чага, 66 км, с. Петровка, кордон з Молдовою;ЧЕР КОГИЛЬ 0051 0000 0000 0000 0000 0066 01 51;Річки Причорномор'я;Лабораторія моніторингу вод та ґрунтів БУВР річок Причорномор'я та нижнього Дунаю;46.501222;29.169611;2019-07-29;NULL;5;80;7;1702.6;833.075;0.9;1.21;0;0.34;0.62;NULL;141;NULL;NULL;NULL
